"node","x1","x2","demand"
1,292,495,0
2,298,427,700
3,309,445,400
4,307,464,400
5,336,475,1200
6,320,439,40
7,321,437,80
8,322,437,2000
9,323,433,900
10,324,433,600
11,323,429,750
12,314,435,1500
13,311,442,150
14,304,427,250
15,293,421,1600
16,296,418,450
17,261,384,700
18,297,410,550
19,315,407,650
20,314,406,200
21,321,391,400
22,321,398,300
23,314,394,1300
24,313,378,700
25,304,382,750
26,295,402,1400
27,283,406,4000
28,279,399,600
29,271,401,1000
30,264,414,500
31,277,439,2500
32,290,434,1700
33,319,433,1100
